Store,Address,City,State,Zip,Type,Sum_Bakery,Sum_Deli,Sum_Floral,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Right_Store,Year,Sum_Produce,Sum_General_Merchandise,Total_Sales,Percent_Dry_Grocery,Percent_Dairy,Percent_Frozen_Food,Percent_Meat,Percent_Produce,Percent_Floral,Percent_Deli,Percent_Bakery,Percent_General_Merchandise,Cluster
S0034,1125 Maricopa Hwy,Ojai,CA,93023,Existing,902119.1,1372806.13,362451.26,13566943.93,3218941.92,2562510.4,3402503.03,S0034,2015,3561114.71,2100665.64,31050056.12,43.693782315779,10.3669439680227,8.25283661355263,10.9581219977518,11.4689477411482,1.16731273721125,4.42126778996623,2.90537027216168,6.76541656440652,2
S0035,81 W Foothill Blvd,Upland,CA,91786,Existing,537480.27,742343.57,132984.09,8525732.59,1856416.79,1448285.37,2243507.61,S0035,2015,1615522.5,1262948.38,18365221.17,46.4232502896669,10.1083279793684,7.88602193566722,12.2160663856574,8.7966405906344,0.724108295614933,4.04211614512236,2.92662018619186,6.87684819207653,1
S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,Existing,283134.94,545124.18,103705.82,8814761.2,1687871.64,1432261.65,1795257.75,S0036,2015,1748605.79,1416381.48,17827104.45,49.4458380760763,9.46800780089668,8.03417994221715,10.07038330333,9.80869212330217,0.581731151521918,3.05783915458015,1.58822730182635,7.94510114624924,3
S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,Existing,635399.37,1246123.74,256331.63,13507345.36,3060559.9,2410415.17,3383050.92,S0037,2015,3562066.35,3225658.13,31286950.57,43.1724572510807,9.78222499873371,7.7042189350063,10.8129774821963,11.3851503106076,0.819292469640003,3.9828865303187,2.03087663841954,10.3099153839971,3
S0038,5805 E Los Angeles Ave,Simi Valley,CA,93063,Existing,593747.63,782759.5,155092.65,9122829.82,2227430.86,1714191.72,2453893.95,S0038,2015,2171273.05,1411229.41,20632448.59,44.2159338490808,10.7957659522757,8.30823211565313,11.8933724191579,10.5235839581947,0.751692894439924,3.79382745865357,2.87773711108518,6.83985424145918,2
S0039,1221 S Gaffey St,San Pedro,CA,90731,Existing,1010486.17,758905.04,147463.34,9669474.43000001,2328789.52,1581216.99,2939723.13,S0039,2015,1579637.47,1345626.92,21361323.01,45.2662713141568,10.9018974101455,7.40224277896914,13.7618963423933,7.39484848040785,0.690328683906736,3.55270616733209,4.73044749862616,6.29936132406248,1
S0040,4550 Atlantic Ave,Long Beach,CA,90807,Existing,700204.9,1464123.59,299539.75,16073815.58,3677680.76,2788687.32,4769599.23,S0040,2015,4543001.51,2709070.05,37025722.69,43.4125640560184,9.93277238851378,7.53175662052148,12.8818531644439,12.2698523619283,0.809004465646528,3.95434169444432,1.89113094661921,7.316724301864,3
S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,Existing,705443.21,1261126.41,172803.28,11674107.53,2674726.45,2087500.74,2595859.27,S0041,2015,2402327.77,1693623.67,25267518.33,46.2020344757775,10.5856317785839,8.26159780607153,10.2735030646755,9.50757307712221,0.683894942681535,4.99109724005888,2.79189748983948,6.70277012518942,1
S0042,13439 Camino Canada,El Cajon,CA,92021,Existing,1159185.22,1884916.5,238829.76,18881880.24,4006812.63,3217344.18,4719220.8,S0042,2015,3843105.62,2410507.99,40361802.94,46.7815579697194,9.92723896887446,7.97125981904909,11.6922943383262,9.52164011531642,0.591722228947585,4.67005030177178,2.87198572799929,5.97225052999577,1
S0043,2048 E Avenida De Los Arboles,Thousand Oaks,CA,91360,Existing,690136.36,1021871.91,231556.75,12162194.78,2791583.6,2218720.2,2890792.8,S0043,2015,3136766.86,2014870.32,27158493.58,44.7822878841721,10.2788602459739,8.16952602125879,10.6441573848147,11.5498558517619,0.852612643326147,3.76262367789252,2.54114374189086,7.41893254890907,2
S0044,7789 Foothill Blvd,Tujunga,CA,91042,Existing,1316636.75,1456372.17,201122.97,15772314.51,3562553.91,2715622.41,4481645.11,S0044,2015,3735116.20000001,2290881.67,35532265.7,44.3887103714864,10.0262503384353,7.64269420061215,12.6128886568582,10.511899892722,0.566029117585936,4.09873150869746,3.70546804168471,6.44732787191783,1
S0045,6351 Haven Ave,Rancho Cucamonga,CA,91737,Existing,952974.540000001,1637901.97,394119.27,18821234.56,4354423.4,3546379.18,3883710.16,S0045,2015,4446110.8,4267237.08,42304090.96,44.4903415553738,10.2931496722557,8.38306437869857,9.18046002612888,10.5098837939904,0.931633941437611,3.87173422908128,2.25267703045805,10.0870553725757,3
S0046,1820 Ximeno Ave,Long Beach,CA,90815,Existing,1209799.41,1607814.64,443995.32,17883061.14,4373298.18,3320714.19,4574109.64,S0046,2015,5002506.61,3893486.6,42308785.73,42.2679612081602,10.3366194622291,7.84875796528798,10.8112524646545,11.8238009521811,1.04941636196658,3.80019093495265,2.85945197699721,9.20254867357074,2
S0047,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,Existing,936433.169999999,1727800.92,380905.05,20130418.28,4359082.65,3644785.09,4807596.71,S0047,2015,4593568.85,4516050.58,45096641.3,44.6383981150277,9.66609158540595,8.0821652897685,10.6606535906256,10.1860553637284,0.844641727232135,3.83132949637205,2.07650313417022,10.0141616976695,3
S0048,845 College Blvd,Oceanside,CA,92057,Existing,924731.52,1338514.34,331411.22,15351829.53,3431379.41,2843183.47,3562316.55,S0048,2015,3440749.53,3560088.01,34784203.58,44.1344862034642,9.86476347549023,8.17377768463486,10.2411904927104,9.89170133531055,0.952763570503459,3.84805228304727,2.65848122085997,10.2347837339791,3
S0049,550 E 1st St,Tustin,CA,92780,Existing,698494.12,940397.14,231099.48,10022010.28,2424017.45,2025935.33,2122030.11,S0049,2015,2510813.07,1523808.91,22498605.89,44.5450279408401,10.7740784555785,9.00471495836313,9.43182933367077,11.159860669927,1.02717244406116,4.17980182682332,3.10461067416831,6.77290369656766,2
S0050,7 Peninsula Ctr,Rolling Hills Estates,CA,90274,Existing,921487.02,1635272.62,654293.36,18904924.18,4604837.64,3654389.92,4286193.57,S0050,2015,6382729.42,2895084.11,43939211.84,43.0251781685122,10.4800187512876,8.31692187221536,9.75482579343417,14.5262719851281,1.489087611272,3.7216703521098,2.09718604729529,6.58883941874548,2
S0051,26022 Marguerite Pkwy,Mission Viejo,CA,92692,Existing,1026703.85,1250997.7,271433.73,14858870.69,3404191.04,2738386.27,2877653.86,S0051,2015,3917645.91,2015389.09,32361272.14,45.915595115415,10.5193362772419,8.4619240496891,8.89227669280371,12.1059700405214,0.838761000574189,3.86572472981898,3.17263130311539,6.2277807908203,2
S0052,635 Foothill Blvd,La Canada,CA,91011,Existing,1153010.85,1987478.38,734241.050000001,19906352.86,4440704.91,3420423.44,5136574.65,S0052,2015,6637175.18,3571911.99,46987873.31,42.3648730145093,9.45074675055559,7.27937486643403,10.9317027738449,14.1252938523342,1.5626181784306,4.22976874668857,2.45384770320008,7.60177411400277,2
S0053,750 N Imperial Ave,El Centro,CA,92243,Existing,860645.189999999,1447634.62,201233.77,14581530.55,3130532.88,2313704.13,3715695.89,S0053,2015,2745412.25,1901166.71,30897555.99,47.1931519590718,10.1319757491926,7.48830791260264,12.0258569681129,8.88553208185318,0.651293487630962,4.68527226059086,2.78547982979154,6.15312975115349,1
S0054,2938 Tapo Canyon Rd,Simi Valley,CA,93063,Existing,1146805.78,1673337.82,309659.41,17026101.04,3989612.16,3149861.69,4164490.16,S0054,2015,4386911.15,2423532.2,38270311.41,44.489058000064,10.4248228274346,8.23056195246151,10.8817775622067,11.4629617277002,0.809137419036225,4.37241756951776,2.99659380273645,6.33266913884252,2
S0055,330 W El Norte Pkwy,Escondido,CA,92026,Existing,639279.85,1465620.42,225703.13,19088095.08,3736021.51,3173059.07,3847038.75,S0055,2015,4400262.02,2427596.17,39002676,48.940475468914,9.57888507444976,8.13549067761401,9.86352513350622,11.2819490129344,0.578686267578152,3.75774323792552,1.63906663737637,6.22417848970157,3
S0056,32401 Camino Capistrano,San Juan Capistrano,CA,92675,Existing,490284.11,592394.16,176842.67,10391159.07,2549257.22,1884567.75,1907090.37,S0056,2015,2572158.37,1248561.77,21812315.49,47.6389545840005,11.6872379787864,8.63992523335725,8.74318167126419,11.7922298124618,0.810746892419902,2.71587012516661,2.24773986156937,5.72411384097397,2
S0057,500 E Manchester Blvd,Inglewood,CA,90301,Existing,592246.87,1656800.49,196213.47,14653637.31,3251575.4,2519485.1,4931545.65,S0057,2015,3587804.57,2057046.97,33446355.83,43.8123584658401,9.72176286267776,7.53291363880105,14.7446426602225,10.7270417986222,0.586651266276383,4.95360540449049,1.77073661779553,6.15028728527403,1
S0058,1855 Cochran St,Simi Valley,CA,93065,Existing,860880.03,1378425.27,240267.69,13413628.73,2897466.58,2305301.28,2962731.37,S0058,2015,2897813.17,1909961,28866475.12,46.467844356606,10.0374796990454,7.98608513999959,10.2635716958296,10.0386803652111,0.832341631602716,4.77517696313729,2.98228317250811,6.61653697606014,1
S0059,950 N 2nd St,El Cajon,CA,92021,Existing,829482.95,1259971.75,214102.63,12462807.04,2807123.52,2101484.93,3404045.88,S0059,2015,3490732.83,2417121.15,28986872.68,42.9946589188248,9.68411994970683,7.24978148970847,11.7434050840147,12.0424609737514,0.738619279021858,4.3466977756084,2.86158137566981,8.33867515369374,3
S0060,351 W Felicita Ave,Escondido,CA,92025,Existing,902494.46,1452109.14,366568.84,15688606.94,3555148.75,2872841.23,3998911.1,S0060,2015,3516216.8,2533936.38,34886833.64,44.9699938432131,10.1905171064989,8.23474339816871,11.4625223408495,10.0789221408974,1.05073691634688,4.16234145805386,2.58691995184462,7.26330284412708,2
S0061,57590 29 Palms Hys,Yucca Valley,CA,92284,Existing,1243333.02,2074325.81,244877.13,19352651.46,4461770.11,3095090.85,4923658.91,S0061,2015,4329100.12,2297763.31,42022570.72,46.0529927808281,10.6175563121284,7.36530582724902,11.7167008720308,10.30184504619,0.58272762899642,4.93621826189885,2.9587267001927,5.46792657048565,1
S0062,11800 De Palma Rd,Corona,CA,92883,Existing,559885.62,1062596.06,151167.25,12248028.87,2577226.39,2079239.8,2442931.82,S0062,2015,2882942.49,2060781.69,26064799.99,46.9906881107819,9.8877658412448,7.97719453361514,9.37253238443131,11.0606737481433,0.579967043898271,4.07674741570116,2.14805262351833,7.90637829866577,3
S0063,4520 W Sunset Blvd,Los Angeles,CA,90028,Existing,607220.75,623938.46,193831.14,8729367.81,2373881.9,1771709.83,2202671,S0063,2015,2822801.12,1518719.92,20844141.93,41.8792380099669,11.3887245057729,8.49979738168094,10.5673383313026,13.5424193976403,0.929907024481674,2.99335161934392,2.91314822188029,7.28607550793049,2
S0064,9119 Reseda Blvd,Northridge,CA,91324,Existing,1001406.81,906447.01,218816.85,9975297.43000001,2452825.8,1630303.74,2620448.72,S0064,2015,2806409.24,1242288.12,22854243.72,43.6474623803478,10.7324741525072,7.13348365394959,11.4659174554388,12.2795979354332,0.957445158460924,3.96620873175846,4.38171055786745,5.43569997423656,2
S0065,2340 Foothill Blvd,La Verne,CA,91750,Existing,1073955.02,1339607.66,401274.129999999,14548365.67,3709653.21,2541375.39,3903469.76,S0065,2015,4244599.91,2907880.44,34670181.19,41.9621852861738,10.6998379664367,7.33014741420796,11.2588674936775,12.2427970212751,1.15740419065286,3.86386114528408,3.0976331335406,8.38726634875138,2
S0066,522 Orange St,Redlands,CA,92374,Existing,890801.23,1410438.96,304719.87,15930729.89,3513480.75,2929476.99,3732184.45,S0066,2015,3021856.3,3572979.13,35306667.57,45.1210238361218,9.95132362190249,8.29723446482717,10.5707638439693,8.55888280594248,0.863066074972536,3.99482323615964,2.52303967298492,10.1198424431196,3
S0067,660 E Los Angeles Ave,Simi Valley,CA,93065,Existing,703530.22,1247766.13,171868.63,13208481.87,2850178.02,2323242.19,3517290.99,S0067,2015,2926805.74,1748363.96,28697527.75,46.0265496912012,9.93178940300878,8.09561788819944,12.2564250852584,10.1988079443533,0.598896990351372,4.34799171855492,2.45153598640566,6.09238529266689,1
S0068,1011 N San Fernando Blvd,Burbank,CA,91504,Existing,1400891.14,1782749.49,364386.38,17116047.01,3885400.46,2943162.25,3997440.94,S0068,2015,4775191.33,2559074.52,38824343.52,44.0858632965238,10.0076398149488,7.58071349869408,10.2962228786708,12.2994773306086,0.938551297879098,4.59183421628658,3.60828030299686,6.59141736339139,2
S0069,1440 W 25th St,San Pedro,CA,90732,Existing,914185.360000001,1023277.68,194733.89,10171488.28,2610543.88,1909920.49,2763957.68,S0069,2015,3279238.46,1741950.8,24609296.52,41.3318937082725,10.6079581668595,7.76097150297574,11.2313559136228,13.3252019509577,0.791302139993069,4.15809399170911,3.71479680151378,7.07842582409584,2
S0070,4550 Atlantic Ave,Long Beach,CA,90807,Existing,825115.8,1336535.56,276776.12,15551585.46,3449561.43,2718768.77,3563208.16,S0070,2015,4013986.34,3634274.01,35369811.65,43.968527776992,9.75284082407602,7.68669281279591,10.0741507906786,11.3486223215441,0.78252076301345,3.77874661371005,2.33282497561731,10.2750731215726,3
S0071,1270 E Main St,Barstow,CA,92311,Existing,665396.47,1330196.58,184240.31,13753914.08,3038819.76,2126413.89,4160577.09,S0071,2015,3135443.78000001,2552738,30947739.96,44.4423860927388,9.81919766654263,6.87098280116219,13.4438802167058,10.1314143910107,0.595327187827386,4.29820265298623,2.15006482172858,8.24854416929773,3
S0072,729 N H St,Lompoc,CA,93436,Existing,692740.56,1676771.13,287682.8,16735266.3,3531512.75,2411981.19,4778935.6,S0072,2015,4147374.1,3797553.88,38059818.31,43.9709568860525,9.27884815748612,6.33734289100971,12.5563804878815,10.8969886987356,0.755870134893453,4.40562042714596,1.82013627694588,9.97785603984929,3
S0073,175 N Fairview Ave,Goleta,CA,93117,Existing,1293299.18,1525076.3,311041.81,15644379.69,3508188.95,2793488.95,3782537.58,S0073,2015,4465628.93,2556073.85,35879715.24,43.6022961312666,9.77763877593137,7.78570546425552,10.5422731331577,12.4461102885832,0.866901556825176,4.25052509418968,3.60454137205131,7.12400818373942,2
S0074,777 S Glendora Ave,West Covina,CA,91790,Existing,680005.26,766377.12,104311.03,9359491.14999999,2112420.38,1619474.25,2705702.35,S0074,2015,1908571.21,1251862.39,20508215.14,45.6377655788528,10.3003619065798,7.89670987428505,13.1932610006743,9.30637404070066,0.508630464854778,3.73692744477421,3.31577007242182,6.10419961685657,1
S0075,870 3rd Ave,Chula Vista,CA,91911,Existing,499520.37,1606817.41,142057.19,13433609.13,3046198.57,2352610.73,4961131.18,S0075,2015,3567736.58,1549614.52,31159295.68,43.1126854341016,9.77621125099834,7.55026928131131,15.9218335066038,11.4499910929951,0.455906293450597,5.15678347322644,1.60311829615784,4.973201371155,1
S0076,7311 N Figueroa St,Los Angeles,CA,90041,Existing,590258.53,941792.04,264552.57,9919151.26,2240409.57,1852723.94,2481944.99,S0076,2015,2605311.13,1712977.48,22609121.51,43.8723426543255,9.90931721521806,8.19458615046383,10.9776268348252,11.5232744839187,1.17011432701173,4.16554017626667,2.61070970731406,7.5764884506563,2
S0077,163 S Turnpike Rd,Goleta,CA,93111,Existing,1057670.22,1026552.9,292412.08,11830087.05,2777040.86,2205284.96,2861789.75,S0077,2015,3178498.13,1721778.73,26951114.68,43.8946113749385,10.3039925916712,8.18253710907366,10.6184467098264,11.793568346762,1.08497211886006,3.80894412787234,3.92440250638272,6.38852511461318,2
S0078,3855 State St,Santa Barabra,CA,93105,Existing,463992.82,667635.85,132383.08,7941652.94,2202417.72,1620640.59,2058790.78,S0078,2015,2343553.96,974476.95,18405544.69,43.1481549378694,11.9660556484189,8.80517592549444,11.1857096036857,12.7328693579674,0.719256518781134,3.62736263036397,2.52094044384405,5.29447493357503,2
S0079,3027 Rancho Vista Blvd,Palmdale,CA,93551,Existing,539816.49,958828.26,183894.22,11014708.74,2278637.38,1824305.04,2869326.94,S0079,2015,2349084.45,1716709.36,23735310.88,46.4064228848221,9.60020027342486,7.68603811099524,12.0888534155151,9.89700308488228,0.7747706399538,4.03967011364462,2.27431817821634,7.23272329854565,3
